x,y
3380.449331449393,2339.02180795781
3380.445810072095,2327.191327197372
3380.442288694796,2315.360846436934
3380.438767317498,2303.530365676497
3380.4352459402,2291.699884916059
3380.431724562902,2279.869404155622
3380.428203185603,2268.038923395184
3380.424681808305,2256.208442634746
3380.421160431005,2244.377961874308
3380.417639053708,2232.547481113871
3380.414117676409,2220.717000353433
3380.410596299111,2208.886519592995
3380.407074921813,2197.056038832558
3380.403553544514,2185.22555807212
3380.400032167216,2173.395077311682
3380.396510789918,2161.564596551245
3380.392989412619,2149.734115790807
3380.38946803532,2137.903635030369
3380.385946658022,2126.073154269931
3380.382425280724,2114.242673509494
3380.378903903426,2102.412192749056
3380.375382526127,2090.581711988618
3380.371861148829,2078.751231228181
3380.368339771531,2066.920750467743
3380.364818394232,2055.090269707305
3380.361297016933,2043.259788946867
3380.357775639635,2031.42930818643
3380.354254262337,2019.598827425992
3380.350732885039,2007.768346665554
3380.34721150774,1995.937865905116
3380.343690130442,1984.107385144679
3380.340168753143,1972.276904384241
3380.336647375845,1960.446423623803
3380.333125998546,1948.615942863365
3380.329604621248,1936.785462102928
3380.32608324395,1924.95498134249
3380.322561866651,1913.124500582052
3380.319040489353,1901.294019821614
3380.315519112055,1889.463539061177
3380.311997734756,1877.633058300739
3380.308476357458,1865.802577540301
3380.30495498016,1853.972096779864
3380.301433602861,1842.141616019426
3380.297912225562,1830.311135258989
3380.294390848264,1818.480654498551
3380.290869470966,1806.650173738113
3380.287348093668,1794.819692977675
3380.283826716369,1782.989212217238
3380.280305339071,1771.1587314568
3380.276783961772,1759.328250696362
3380.273262584474,1747.497769935924
3380.40346869813,1735.673022903023
3380.351233517127,1723.855118747456
3378.428242886949,1712.194600140612
3374.683023959011,1700.985723197488
3369.210088273384,1690.511346742286
3362.147546736346,1681.035794294967
3353.673624356985,1672.798183800846
3344.002162694343,1666.006393429202
3333.377223511979,1660.831815715481
3321.626620537361,1660.368907630697
3309.796189991689,1660.334259005507
3297.965759446017,1660.299610380316
3286.135328900346,1660.264961755126
3274.304898354675,1660.230313129935
3262.474467809003,1660.195664504744
3250.644037263331,1660.161015879554
3238.81360671766,1660.126367254363
3226.983176171989,1660.091718629173
3215.152745626317,1660.057070003982
3203.322315080645,1660.022421378792
3191.491884534974,1659.987772753601
3179.661453989302,1659.953124128411
3167.831023443631,1659.91847550322
3156.000592897959,1659.883826878029
3144.170162352288,1659.849178252839
3132.339731806617,1659.814529627648
3120.509301260945,1659.779881002458
3108.678870715273,1659.745232377267
3096.848440169602,1659.710583752077
3085.019686789139,1659.593804897327
3073.349258367762,1657.776184805855
3062.265267009994,1653.696015947053
3052.201770706698,1647.513081005705
3043.552864043973,1639.469508672787
3036.657245143101,1629.880291691753
3030.043372542461,1620.073334930435
3022.929372556154,1610.622368001811
3015.341445590177,1601.547505135072
3007.299441919848,1592.872486480481
2998.824399700601,1584.620006182226
2989.938489931462,1576.811653009769
2980.664958454956,1569.467853880887
2971.028065145194,1562.607820424161
2961.053020443218,1556.249498720703
2950.76591940562,1550.409522356592
2940.193673438998,1545.103168908852
2928.8836789044,1542.225210257303
2917.109397513745,1541.073435471653
2905.335116123091,1539.921660686003
2893.560834732435,1538.769885900353
2881.78655334178,1537.618111114703
2870.012271951125,1536.466336329053
2858.23799056047,1535.314561543403
2846.463709169816,1534.162786757753
2834.689427779161,1533.011011972103
2822.915146388506,1531.859237186453
2811.140864997851,1530.707462400803
2799.366583607195,1529.555687615153
2787.592302216541,1528.403912829503
2775.818020825886,1527.252138043853
2764.043739435231,1526.100363258203
2752.269458044576,1524.948588472553
2740.495176653921,1523.796813686903
2728.720895263266,1522.645038901253
2716.946613872611,1521.493264115603
2705.172332481956,1520.341489329954
2693.398051091302,1519.189714544303
2681.623769700646,1518.037939758653
2669.849488309991,1516.886164973003
2658.075206919336,1515.734390187353
2646.300925528682,1514.582615401703
2634.526644138027,1513.430840616053
2622.752362747372,1512.279065830403
2610.978081356717,1511.127291044753
2599.203799966062,1509.975516259103
2587.429518575407,1508.823741473453
2575.655237184752,1507.671966687803
2563.880955794097,1506.520191902153
2552.080759302888,1506.061125385597
2540.354702675656,1507.551704660048
2528.960493152494,1510.697212558743
2518.130456624402,1515.43351273912
2508.085415596074,1521.664032888971
2499.030186654594,1529.261733818584
2489.780225139109,1536.53779601004
2478.561241452879,1539.193205306652
2466.730762296367,1539.200301116673
2454.900283139855,1539.207396926695
2443.069803983343,1539.214492736716
2431.239324826831,1539.221588546737
2419.408845670319,1539.228684356758
2407.578366513808,1539.23578016678
2395.747887357295,1539.242875976801
2383.917408200784,1539.249971786822
2372.086929044272,1539.257067596843
2360.25644988776,1539.264163406864
2348.425970731248,1539.271259216886
2336.595491574736,1539.278355026907
2324.765012418223,1539.285450836928
2312.934533261712,1539.292546646949
2301.1040541052,1539.299642456971
2289.273574948689,1539.306738266992
2277.443095792176,1539.313834077013
2265.612616635664,1539.320929887035
2253.782137479152,1539.328025697056
2241.951658322641,1539.335121507077
2230.121179166129,1539.342217317098
2218.290700009617,1539.349313127119
2206.460220853105,1539.35640893714
2194.629741696593,1539.363504747162
2182.799262540081,1539.370600557183
2170.968783383569,1539.377696367204
2159.140172677187,1539.282464386343
2147.351567003224,1540.107618605783
2135.852101512921,1542.830557580375
2124.945228163059,1547.379427434759
2114.918761379728,1553.63419098463
2106.037283109593,1561.429795320353
2098.535160938039,1570.560527281435
2092.610363514561,1580.785441888061
